"","sensor_index","pm2.5_cf_1_a","latitude","longitude"
"152",17247,1.336,33.699135,-117.990204
"153",17583,12.835,33.8766,-117.90676
"154",17793,8.596,34.10424,-118.3317
"155",17857,8.703,34.08064,-118.63482
"156",17933,1.714,33.68387,-118.02251
"157",1796,1.056,33.602165,-117.90209
"158",1816,56.331,33.763767,-118.14565
"159",18329,37.388,34.200146,-118.197235
"160",1846,5.701,34.094692,-118.34805
"161",1848,18.175,34.141758,-118.060745
"162",1852,12.883,34.021534,-117.90991
"163",1854,48.056,33.999504,-117.41602
"164",1876,6.715,34.01826,-118.460205
"165",18849,7.825,33.880737,-118.38882
"166",1914,28.03,33.773087,-118.081055
"167",1922,31.067,33.77324,-118.085175
"168",19289,5.835,33.994324,-118.46365
"169",19365,15.146,33.71831,-118.05304
"170",19525,16.134,34.22092,-119.01086
"171",19655,3.071,34.196938,-118.818245
"172",19991,5.883,34.036663,-118.709435
"173",2018,25.139,33.762363,-118.09173
"174",2020,16.769,33.762314,-118.08269
"175",2025,20.382,33.766132,-118.083176
"176",20700,6.655,34.157288,-118.38509
"177",20704,24.698,34.105556,-118.21524
"178",20819,16.844,34.007793,-118.79461
"179",21293,44.567,34.134205,-118.1651
"180",21303,5.787,34.084064,-118.33992
"181",21315,36.099,34.122776,-118.1887
"182",2167,23.158,33.999977,-117.41676
"183",2169,29.314,33.770245,-118.090096
"184",22567,7.522,33.963295,-118.45176
"185",22675,6.869,34.026974,-118.387085
"186",22691,36.948,34.075665,-118.14866
"187",2303,18.837,33.761993,-118.08767
"188",2307,25.068,33.76539,-118.0782
"189",23089,29.868,34.18797,-118.17923
"190",23181,14.425,34.240025,-118.24872
"191",23241,42.786,34.080685,-118.128105
"192",2325,30.992,33.999977,-117.41676
"193",23263,52.71,34.08767,-118.12897
"194",23295,65.296,34.068943,-118.15808
"195",23347,31.697,34.07223,-118.10899
"196",2336,25.335,33.769814,-118.08469
"197",23429,44.585,34.07705,-118.15674
"198",2346,48.572,33.999977,-117.41676
"199",2348,20.203,33.76881,-118.07858
"200",2356,20.072,33.75989,-118.08929
"201",2372,27.949,33.777668,-118.091995
"202",2380,23.279,33.76555,-118.07864
"203",23945,22.102,33.757526,-118.29447
"204",23963,6.742,34.034103,-118.51798
"205",24021,74.185,33.824715,-118.2682
"206",24039,65.995,34.26145,-119.25417
"207",2430,45.074,33.7792,-118.0441
"208",24709,15.282,34.167004,-118.03768
"209",2504,44.289,34.064915,-118.03349
"210",25639,2.361,33.634064,-117.79937
"211",25713,18.788,34.13743,-118.07092
"212",25837,11.198,33.802116,-118.3525
"213",25851,3.309,33.753635,-117.85664
"214",26033,10.88,33.713737,-117.86316
"215",26055,11.732,33.969185,-117.59724
"216",26107,19.063,34.038673,-118.64663
"217",2612,28.008,33.999516,-117.41595
"218",26127,10.695,33.733704,-117.42946
"219",26149,2.687,34.029346,-118.82416
"220",26317,8.232,33.730015,-117.79443
"221",26323,27.667,34.28899,-119.30631
"222",26431,36.069,34.2713,-119.24626
"223",26479,34.189,34.14562,-118.46077
"224",26487,9.668,34.015594,-117.74822
"225",2649,7.735,34.294777,-118.57907
"226",26505,16.838,34.222137,-118.23248
"227",26521,5.479,33.728676,-117.85469
"228",26599,17.754,34.277157,-119.21536
"229",26809,2.208,34.188713,-118.17959
"230",26841,6.261,34.188473,-118.179634
"231",2693,45.008,34.054504,-118.01136
"232",27075,7.909,33.749172,-117.86334
"233",27089,5.806,33.731037,-117.85478
"234",27099,19.162,33.980984,-118.340454
"235",2710,5.425,34.1804,-118.89463
"236",27109,18.75,34.16477,-118.59115
"237",27113,52.403,34.012215,-118.10093
"238",2713,23.236,34.071632,-118.03126
"239",27397,12.85,34.278088,-119.26812
"240",27403,19.32,34.298264,-119.29871
"241",27429,18.794,34.156155,-118.000656
"242",2749,44.832,34.174786,-118.12699
"243",28189,1.28,33.989574,-118.43419
"244",28253,3.883,33.75435,-118.008965
"245",28311,16.165,33.971275,-117.72423
"246",2835,10.151,33.494915,-117.68442
"247",28457,29.88,33.98995,-118.17809
"248",28503,12.278,33.788963,-118.33263
"249",28515,19.643,34.13388,-118.0182
"250",28529,57.026,33.777233,-118.243095
"251",28551,6.408,33.718018,-117.42528
